Iteration(Tree),Train_Loss(MSE),Val_Loss(MSE)
458,0.246242,0.110386
459,0.246238,0.110382
460,0.246234,0.110365
461,0.246230,0.110365
462,0.246224,0.110368
463,0.246220,0.110351
464,0.246216,0.110353
465,0.246212,0.110357
466,0.246208,0.110354
467,0.246204,0.110366
468,0.246200,0.110378
469,0.246197,0.110368
470,0.246193,0.110379
471,0.246190,0.110391
472,0.246185,0.110371
473,0.246181,0.110385
474,0.246178,0.110399
475,0.246174,0.110405
476,0.246171,0.110379
477,0.246167,0.110361
478,0.246164,0.110358
479,0.246160,0.110354
480,0.246158,0.110351
481,0.246154,0.110346
482,0.246151,0.110341
483,0.246148,0.110341
484,0.246145,0.110324
485,0.246142,0.110328
486,0.246139,0.110319
487,0.246137,0.110303
488,0.246134,0.110321
489,0.246132,0.110321
490,0.246130,0.110325
491,0.246128,0.110327
492,0.246125,0.110344
493,0.246123,0.110356
494,0.246121,0.110364
495,0.246119,0.110379
496,0.246117,0.110390
497,0.246115,0.110393
498,0.246113,0.110388
499,0.246111,0.110385
500,0.246110,0.110391
