Gene,Delta_R,P_Value,Neg_Log10_P
SCN3A,0.09612583206039271,0.33672153929352866,0.47272910191566037
SCN5A,-0.10629886642110487,0.12876644591682823,0.8901972911038524
SCN8A,0.13213565230580504,0.31763399454441765,0.498073023710328
SETD2,-0.18057967648303674,0.14290545155375067,0.8449512034374975
SETDB1,-0.09661686693138527,0.3841733369377611,0.41547278008501265
SF3B1,-0.10762715024527081,0.3142188331637461,0.502767788443173
SF3B2,-0.1719602185745529,0.13114204837672663,0.8822580371422681
SHMT1,0.07487634836736656,0.8548109910288257,0.06812990238012324
SI,-0.05114485149152326,0.45806207062894355,0.3390756680548008
SLC12A1,-0.04054192017190905,0.8415851033060752,0.07490196046365817
SLC22A7,0.07327676007135142,0.7501984075348767,0.12482386207219251
SLC28A3,-0.11257360416174145,0.16179364382121197,0.7910385439573442
SLC2A9,0.028928780008089294,1.0,-0.0
SLC5A1,-0.11805254536340926,0.4012231766647314,0.396613987897683
SLCO4A1,-0.0290915592439549,0.6148204772623855,0.21125167628296476
SMAD2,0.019692799881347534,0.6805499414350773,0.16713999905163815
SMARCA2,0.005867432241379422,0.8342188814242674,0.07871998470647851
SMARCA4,0.10861783296037752,0.8153910097753768,0.08863408124107222
SMURF1,-0.06900431450113065,0.4925945631851122,0.30751038582159107
SORT1,0.04492960021331727,0.6805499414350773,0.16713999905163815
SRCIN1,0.023848620904745266,0.9045466686160533,0.04356902150778742
STIM1,-0.06373421918077704,0.5300816111574913,0.2756572614429774
STK24,0.01316744133098191,0.4240205870056045,0.3726130570726389
TAF1,-0.14296712128389777,0.2509985637234572,0.6003287636534707
TAOK2,-0.005259862189256559,1.0,-0.0
TAS1R2,0.15680814790535913,0.17433306202706134,0.7586202417237564
TAS1R3,-0.24232768015194517,0.07258076040125178,1.1391784861721421
TBXAS1,-0.09212847743312635,0.20023431905623013,0.6984614848018009
THRB,-0.20922687501476067,0.09358364643938565,1.0288000367496224
TNC,-0.1162116540280953,0.10803281377170358,0.9664443123325441
TNIK,0.1696442880582485,0.2074986557229931,0.6829847125132251
TNK2,-0.18512223021127805,0.13181371880116946,0.8800393872413296
TOP2A,-0.06418143140913668,0.9154824465431283,0.03834997844316127
TP53,-0.14885652612729672,0.09358364643938565,1.0288000367496224
TP53BP1,0.08277722167575252,0.8548109910288257,0.06812990238012324
TPO,-0.23266390772058804,0.06727466481307054,1.1721484573724057
TPP2,-0.17031555220648165,0.0588862861138644,1.2299858352391104
TPX2,-0.1040113210239707,0.40779387321039406,0.3895593034497523
TRAP1,0.010332140007765944,0.7488007540288499,0.12563372694302297
TRHDE,-0.0773821434090396,0.5830394883621386,0.23430203015178197
TRPM7,0.09020475015005736,0.5300816111574913,0.2756572614429774
TRPM8,-0.030857894788431373,1.0,-0.0
TRPV4,-0.1336293485238349,0.14304709336252125,0.8445209623916987
TSG101,0.1036872387959148,0.9154824465431283,0.03834997844316127
TTBK1,0.15528213051165707,0.33672153929352866,0.47272910191566037
TUBA1A,-0.07197906231675044,0.8190792940817251,0.08667405267769437
TUBB4B,0.07250530528874244,0.8190792940817251,0.08667405267769437
UBA3,-0.09020925185078876,0.0903836893565408,1.0439099352499415
UCHL5,-0.05935786553278832,0.4102660092585979,0.38693446305484946
ULK2,0.14078384402122646,0.4322590535445656,0.3642559017827387
USP13,-0.08794338828002268,0.3847533507930365,0.4148175892363434
USP4,0.06278283177392907,0.9635128056760234,0.016142508930192596
USP7,0.08599101994959524,0.9577468379012183,0.018749273210005152
USP8,-0.06382379722441334,0.8548109910288257,0.06812990238012324
USP9X,-0.14507267861505757,0.14290545155375067,0.8449512034374975
VIM,0.057961310905076835,0.4240205870056045,0.3726130570726389
VPS35,0.15005930248369326,0.521885197608717,0.2824250209985738
VWF,-0.03954551779430304,0.6074469437812022,0.2164916486420857
WNK1,-0.06038528578965807,0.24693802910062024,0.6074120224344287
WNK2,-0.20762624968034948,0.16994641671959065,0.7696879879818619
